,RK,Player,Team,,▲,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
0,1,"Altuve, J",HOU,,514888,2B,154,638,86,200,40,4,15,66,33,67,38,13,.313,.353,.459,.812,8,9,3,6,293,59,17,198,199,0.99,2227,689
1,2,"Machado, M",BAL,,592518,3B,162,633,102,181,30,1,35,86,70,111,20,8,.286,.359,.502,.861,2,4,2,4,318,66,17,187,177,1.06,2789,713
2,3,"Calhoun, K",LAA,,594777,RF,159,630,78,161,23,2,26,83,45,164,4,1,.256,.308,.422,.731,1,5,2,4,266,51,6,165,152,1.09,2557,686
3,4,"Cabrera, M",CWS,,466320,LF,158,629,70,172,36,2,12,77,40,88,3,0,.273,.314,.394,.709,2,2,2,10,248,50,18,214,185,1.16,2572,683
4,5,"Dozier, B",MIN,,572821,2B,157,628,101,148,39,4,28,77,61,148,12,4,.236,.307,.444,.751,2,7,0,8,279,71,10,144,206,0.70,2833,704
5,6,"Cano, R",SEA,,429664,2B,156,624,82,179,34,1,21,79,43,107,2,6,.287,.334,.446,.779,5,3,0,4,278,56,26,240,128,1.88,2445,674
6,6,"Kinsler, I",DET,,435079,2B,154,624,94,185,35,7,11,73,43,80,10,6,.296,.342,.428,.770,0,3,0,5,267,53,13,151,228,0.66,2526,675
7,8,"Seager, K",SEA,,572122,3B,161,623,85,166,37,0,26,74,54,98,6,6,.266,.328,.451,.779,6,5,0,4,281,63,17,161,219,0.74,2537,686
8,9,"Donaldson, J",TOR,,518626,3B,158,620,122,184,41,2,41,123,73,133,6,0,.297,.371,.568,.939,0,6,2,10,352,84,16,184,147,1.25,2817,711
9,10,"Abreu, J",CWS,,547989,1B,154,613,88,178,34,3,30,101,39,140,0,0,.290,.347,.502,.850,11,15,0,1,308,67,16,182,130,1.40,2526,668
10,10,"Bogaerts, X",BOS,,593428,SS,156,613,84,196,35,3,7,81,32,101,10,2,.320,.355,.421,.776,1,3,3,3,258,45,16,203,135,1.50,2530,654
11,10,"Fielder, P",TEX,,425902,DH,158,613,78,187,28,0,23,98,64,88,0,0,.305,.378,.463,.841,14,11,0,5,284,51,21,207,157,1.32,2483,693
12,13,"Escobar, A",KC,,444876,SS,148,612,76,157,20,5,3,47,26,75,17,5,.257,.293,.320,.614,1,8,11,5,196,28,10,218,188,1.16,2311,662
13,14,"Eaton, A",CWS,,594809,CF,153,610,98,175,28,9,14,56,58,131,18,8,.287,.361,.431,.792,2,14,5,2,263,51,5,187,129,1.45,2785,689
14,15,"Longoria, E",TB,,446334,3B,160,604,74,163,35,1,21,73,51,132,3,1,.270,.328,.435,.764,8,6,0,9,263,57,11,150,179,0.84,2536,670
15,16,"Pujols, A",LAA,,405395,DH,157,602,85,147,22,0,40,95,50,72,5,3,.244,.307,.480,.787,10,6,0,3,289,62,15,199,202,0.99,2514,661
16,17,"Hosmer, E",KC,,543333,1B,158,599,98,178,33,5,18,93,61,108,7,3,.297,.363,.459,.822,6,3,1,3,275,56,16,211,122,1.73,2557,667
17,18,"Aybar, E",LAA,,430947,SS,156,597,74,161,30,1,3,44,25,73,15,6,.270,.301,.338,.639,1,4,7,5,202,34,12,241,146,1.65,2155,638
18,18,"Betts, M",BOS,,605141,RF,145,597,92,174,42,8,18,77,46,82,21,6,.291,.341,.479,.820,1,2,3,6,286,68,2,140,212,0.66,2634,654
19,20,"Andrus, E",TEX,,462101,SS,160,596,69,154,34,2,7,62,46,78,25,9,.258,.309,.357,.667,1,2,8,9,213,43,14,206,189,1.09,2444,661
20,20,"Martinez, J",DET,,502110,RF,158,596,93,168,33,2,38,102,53,178,3,2,.282,.344,.535,.879,7,5,0,3,319,73,11,110,154,0.71,2605,657
21,22,"Mauer, J",MIN,,408045,1B,158,592,69,157,34,2,10,66,67,112,2,1,.265,.338,.380,.718,12,1,1,5,225,46,22,242,109,2.22,2715,666
22,23,"Cruz, N",SEA,,443558,DH,152,590,90,178,22,1,44,93,59,164,3,2,.302,.369,.566,.936,9,5,0,1,334,67,6,142,113,1.26,2632,655
23,24,"Pillar, K",TOR,,607680,CF,159,586,76,163,31,2,12,56,28,85,25,4,.278,.314,.399,.713,1,5,4,5,234,45,9,168,188,0.89,2262,628
24,25,"Ramirez, A",CWS,,493351,SS,154,583,54,145,33,0,10,62,31,68,17,7,.249,.285,.357,.642,2,1,1,6,208,43,18,230,165,1.39,2185,622
25,26,"Headley, C",NYY,,452104,3B,156,580,74,150,29,1,11,62,51,135,0,2,.259,.324,.369,.693,0,7,0,4,214,41,17,169,147,1.15,2561,642
26,27,"Trout, M",LAA,,545361,CF,159,575,104,172,32,6,41,90,92,158,11,7,.299,.402,.590,.991,14,10,0,5,339,79,11,123,138,0.89,2980,682
27,28,"Davis, C",BAL,,448801,1B,160,573,100,150,31,0,47,117,84,208,2,3,.262,.361,.562,.923,6,8,0,5,322,78,6,109,117,0.93,2786,670
28,28,"Plouffe, T",MIN,,461858,3B,152,573,74,140,35,4,22,86,50,124,2,1,.244,.307,.435,.742,0,4,1,4,249,61,28,178,164,1.09,2403,632
29,30,"Gardner, B",NYY,,458731,LF,151,571,94,148,26,3,16,66,68,135,20,5,.259,.343,.399,.742,1,6,8,3,228,45,8,162,145,1.12,2732,656
30,31,"Morales, K",KC,,434778,DH,158,569,81,165,41,2,22,106,58,103,0,0,.290,.362,.485,.847,4,8,0,4,276,65,24,195,134,1.46,2442,639
31,32,"Beltre, A",TEX,,134181,3B,143,567,83,163,32,4,18,83,41,65,1,0,.287,.334,.453,.788,4,3,0,8,257,54,18,180,185,0.97,2288,619
32,33,"Gattis, E",HOU,,594828,C,153,566,66,139,20,11,27,88,30,119,0,1,.246,.285,.463,.748,3,3,0,5,262,58,13,178,148,1.20,2102,604
33,34,"Kipnis, J",CLE,,543401,2B,141,565,86,171,43,7,9,52,57,107,12,8,.303,.372,.451,.823,6,9,4,6,255,59,5,175,127,1.38,2540,641
34,35,"Lawrie, B",OAK,,543434,3B,149,562,64,146,29,3,16,60,28,144,5,2,.260,.299,.407,.706,1,5,3,4,229,48,8,161,126,1.28,2297,602
