,Player,Team
0,José Antonio Bautista,Toronto Blue Jays
1,Starlin DeJesus Castro,Miami Marlins
2,Yasiel Puig,Los Angeles Dodgers
3,José Dariel Abreu,Chicago White Sox
4,Carlos Argelis Gómez,Tampa Bay Rays
5,Jose Miguel Cabrera,Detroit Tigers
6,Yoenis Céspedes,New York Mets
7,Nelson Ramon Cruz,Seattle Mariners
8,José Carlos Altuve,Houston Astros
9,Adrian Beltre,Texas Rangers
10,Miguel Angel Montero,Washington Nationals
11,Aramis Nin Ramirez,Pittsburgh Pirates
12,Aramis Nin Ramirez,Pittsburgh Pirates
13,Robinson Jose Canó,Seattle Mariners
14,Salvador Johan Perez,Kansas City Royals
15,Erick Johan Aybar,Minnesota Twins
